"","obs","totbill","tip","sex","smoker","day","time","size"
"1",1,16.99,1.01,"F","No","Sun","Night",2
"2",2,10.34,1.66,"M","No","Sun","Night",3
"3",3,21.01,3.5,"M","No","Sun","Night",3
"4",4,23.68,3.31,"M","No","Sun","Night",2
"5",5,24.59,3.61,"F","No","Sun","Night",4
"6",6,25.29,4.71,"M","No","Sun","Night",4
"7",7,8.77,2,"M","No","Sun","Night",2
"8",8,26.88,3.12,"M","No","Sun","Night",4
"9",9,15.04,1.96,"M","No","Sun","Night",2
"10",10,14.78,3.23,"M","No","Sun","Night",2
"11",11,10.27,1.71,"M","No","Sun","Night",2
"12",12,35.26,5,"F","No","Sun","Night",4
"13",13,15.42,1.57,"M","No","Sun","Night",2
"14",14,18.43,3,"M","No","Sun","Night",4
"15",15,14.83,3.02,"F","No","Sun","Night",2
"16",16,21.58,3.92,"M","No","Sun","Night",2
"17",17,10.33,1.67,"F","No","Sun","Night",3
"18",18,16.29,3.71,"M","No","Sun","Night",3
"19",19,16.97,3.5,"F","No","Sun","Night",3
"20",20,20.65,3.35,"M","No","Sat","Night",3
"21",21,17.92,4.08,"M","No","Sat","Night",2
"22",22,20.29,2.75,"F","No","Sat","Night",2
"23",23,15.77,2.23,"F","No","Sat","Night",2
"24",24,39.42,7.58,"M","No","Sat","Night",4
"25",25,19.82,3.18,"M","No","Sat","Night",2
"26",26,17.81,2.34,"M","No","Sat","Night",4
"27",27,13.37,2,"M","No","Sat","Night",2
"28",28,12.69,2,"M","No","Sat","Night",2
"29",29,21.7,4.3,"M","No","Sat","Night",2
"30",30,19.65,3,"F","No","Sat","Night",2
"31",31,9.55,1.45,"M","No","Sat","Night",2
"32",32,18.35,2.5,"M","No","Sat","Night",4
"33",33,15.06,3,"F","No","Sat","Night",2
"34",34,20.69,2.45,"F","No","Sat","Night",4
"35",35,17.78,3.27,"M","No","Sat","Night",2
"36",36,24.06,3.6,"M","No","Sat","Night",3
"37",37,16.31,2,"M","No","Sat","Night",3
"38",38,16.93,3.07,"F","No","Sat","Night",3
"39",39,18.69,2.31,"M","No","Sat","Night",3
"40",40,31.27,5,"M","No","Sat","Night",3
"41",41,16.04,2.24,"M","No","Sat","Night",3
"42",42,17.46,2.54,"M","No","Sun","Night",2
"43",43,13.94,3.06,"M","No","Sun","Night",2
"44",44,9.68,1.32,"M","No","Sun","Night",2
"45",45,30.4,5.6,"M","No","Sun","Night",4
"46",46,18.29,3,"M","No","Sun","Night",2
"47",47,22.23,5,"M","No","Sun","Night",2
"48",48,32.4,6,"M","No","Sun","Night",4
"49",49,28.55,2.05,"M","No","Sun","Night",3
"50",50,18.04,3,"M","No","Sun","Night",2
"51",51,12.54,2.5,"M","No","Sun","Night",2
"52",52,10.29,2.6,"F","No","Sun","Night",2
"53",53,34.81,5.2,"F","No","Sun","Night",4
"54",54,9.94,1.56,"M","No","Sun","Night",2
"55",55,25.56,4.34,"M","No","Sun","Night",4
"56",56,19.49,3.51,"M","No","Sun","Night",2
"57",57,38.01,3,"M","Yes","Sat","Night",4
"58",58,26.41,1.5,"F","No","Sat","Night",2
"59",59,11.24,1.76,"M","Yes","Sat","Night",2
"60",60,48.27,6.73,"M","No","Sat","Night",4
"61",61,20.29,3.21,"M","Yes","Sat","Night",2
"62",62,13.81,2,"M","Yes","Sat","Night",2
"63",63,11.02,1.98,"M","Yes","Sat","Night",2
"64",64,18.29,3.76,"M","Yes","Sat","Night",4
"65",65,17.59,2.64,"M","No","Sat","Night",3
"66",66,20.08,3.15,"M","No","Sat","Night",3
"67",67,16.45,2.47,"F","No","Sat","Night",2
"68",68,3.07,1,"F","Yes","Sat","Night",1
"69",69,20.23,2.01,"M","No","Sat","Night",2
"70",70,15.01,2.09,"M","Yes","Sat","Night",2
"71",71,12.02,1.97,"M","No","Sat","Night",2
"72",72,17.07,3,"F","No","Sat","Night",3
"73",73,26.86,3.14,"F","Yes","Sat","Night",2
"74",74,25.28,5,"F","Yes","Sat","Night",2
"75",75,14.73,2.2,"F","No","Sat","Night",2
"76",76,10.51,1.25,"M","No","Sat","Night",2
"77",77,17.92,3.08,"M","Yes","Sat","Night",2
"78",78,27.2,4,"M","No","Thu","Day",4
"79",79,22.76,3,"M","No","Thu","Day",2
"80",80,17.29,2.71,"M","No","Thu","Day",2
"81",81,19.44,3,"M","Yes","Thu","Day",2
"82",82,16.66,3.4,"M","No","Thu","Day",2
"83",83,10.07,1.83,"F","No","Thu","Day",1
"84",84,32.68,5,"M","Yes","Thu","Day",2
"85",85,15.98,2.03,"M","No","Thu","Day",2
"86",86,34.83,5.17,"F","No","Thu","Day",4
"87",87,13.03,2,"M","No","Thu","Day",2
"88",88,18.28,4,"M","No","Thu","Day",2
"89",89,24.71,5.85,"M","No","Thu","Day",2
"90",90,21.16,3,"M","No","Thu","Day",2
"91",91,28.97,3,"M","Yes","Fri","Night",2
"92",92,22.49,3.5,"M","No","Fri","Night",2
"93",93,5.75,1,"F","Yes","Fri","Night",2
"94",94,16.32,4.3,"F","Yes","Fri","Night",2
"95",95,22.75,3.25,"F","No","Fri","Night",2
"96",96,40.17,4.73,"M","Yes","Fri","Night",4
"97",97,27.28,4,"M","Yes","Fri","Night",2
"98",98,12.03,1.5,"M","Yes","Fri","Night",2
"99",99,21.01,3,"M","Yes","Fri","Night",2
"100",100,12.46,1.5,"M","No","Fri","Night",2
"101",101,11.35,2.5,"F","Yes","Fri","Night",2
"102",102,15.38,3,"F","Yes","Fri","Night",2
"103",103,44.3,2.5,"F","Yes","Sat","Night",3
"104",104,22.42,3.48,"F","Yes","Sat","Night",2
"105",105,20.92,4.08,"F","No","Sat","Night",2
"106",106,15.36,1.64,"M","Yes","Sat","Night",2
"107",107,20.49,4.06,"M","Yes","Sat","Night",2
"108",108,25.21,4.29,"M","Yes","Sat","Night",2
"109",109,18.24,3.76,"M","No","Sat","Night",2
"110",110,14.31,4,"F","Yes","Sat","Night",2
"111",111,14,3,"M","No","Sat","Night",2
"112",112,7.25,1,"F","No","Sat","Night",1
"113",113,38.07,4,"M","No","Sun","Night",3
"114",114,23.95,2.55,"M","No","Sun","Night",2
"115",115,25.71,4,"F","No","Sun","Night",3
"116",116,17.31,3.5,"F","No","Sun","Night",2
"117",117,29.93,5.07,"M","No","Sun","Night",4
"118",118,10.65,1.5,"F","No","Thu","Day",2
"119",119,12.43,1.8,"F","No","Thu","Day",2
"120",120,24.08,2.92,"F","No","Thu","Day",4
"121",121,11.69,2.31,"M","No","Thu","Day",2
"122",122,13.42,1.68,"F","No","Thu","Day",2
"123",123,14.26,2.5,"M","No","Thu","Day",2
"124",124,15.95,2,"M","No","Thu","Day",2
"125",125,12.48,2.52,"F","No","Thu","Day",2
"126",126,29.8,4.2,"F","No","Thu","Day",6
"127",127,8.52,1.48,"M","No","Thu","Day",2
"128",128,14.52,2,"F","No","Thu","Day",2
"129",129,11.38,2,"F","No","Thu","Day",2
"130",130,22.82,2.18,"M","No","Thu","Day",3
"131",131,19.08,1.5,"M","No","Thu","Day",2
"132",132,20.27,2.83,"F","No","Thu","Day",2
"133",133,11.17,1.5,"F","No","Thu","Day",2
"134",134,12.26,2,"F","No","Thu","Day",2
"135",135,18.26,3.25,"F","No","Thu","Day",2
"136",136,8.51,1.25,"F","No","Thu","Day",2
"137",137,10.33,2,"F","No","Thu","Day",2
"138",138,14.15,2,"F","No","Thu","Day",2
"139",139,16,2,"M","Yes","Thu","Day",2
"140",140,13.16,2.75,"F","No","Thu","Day",2
"141",141,17.47,3.5,"F","No","Thu","Day",2
"142",142,34.3,6.7,"M","No","Thu","Day",6
"143",143,41.19,5,"M","No","Thu","Day",5
"144",144,27.05,5,"F","No","Thu","Day",6
"145",145,16.43,2.3,"F","No","Thu","Day",2
"146",146,8.35,1.5,"F","No","Thu","Day",2
"147",147,18.64,1.36,"F","No","Thu","Day",3
"148",148,11.87,1.63,"F","No","Thu","Day",2
"149",149,9.78,1.73,"M","No","Thu","Day",2
"150",150,7.51,2,"M","No","Thu","Day",2
"151",151,14.07,2.5,"M","No","Sun","Night",2
"152",152,13.13,2,"M","No","Sun","Night",2
"153",153,17.26,2.74,"M","No","Sun","Night",3
"154",154,24.55,2,"M","No","Sun","Night",4
"155",155,19.77,2,"M","No","Sun","Night",4
"156",156,29.85,5.14,"F","No","Sun","Night",5
"157",157,48.17,5,"M","No","Sun","Night",6
"158",158,25,3.75,"F","No","Sun","Night",4
"159",159,13.39,2.61,"F","No","Sun","Night",2
"160",160,16.49,2,"M","No","Sun","Night",4
"161",161,21.5,3.5,"M","No","Sun","Night",4
"162",162,12.66,2.5,"M","No","Sun","Night",2
"163",163,16.21,2,"F","No","Sun","Night",3
"164",164,13.81,2,"M","No","Sun","Night",2
"165",165,17.51,3,"F","Yes","Sun","Night",2
"166",166,24.52,3.48,"M","No","Sun","Night",3
"167",167,20.76,2.24,"M","No","Sun","Night",2
"168",168,31.71,4.5,"M","No","Sun","Night",4
"169",169,10.59,1.61,"F","Yes","Sat","Night",2
"170",170,10.63,2,"F","Yes","Sat","Night",2
"171",171,50.81,10,"M","Yes","Sat","Night",3
"172",172,15.81,3.16,"M","Yes","Sat","Night",2
"173",173,7.25,5.15,"M","Yes","Sun","Night",2
"174",174,31.85,3.18,"M","Yes","Sun","Night",2
"175",175,16.82,4,"M","Yes","Sun","Night",2
"176",176,32.9,3.11,"M","Yes","Sun","Night",2
"177",177,17.89,2,"M","Yes","Sun","Night",2
"178",178,14.48,2,"M","Yes","Sun","Night",2
"179",179,9.6,4,"F","Yes","Sun","Night",2
"180",180,34.63,3.55,"M","Yes","Sun","Night",2
"181",181,34.65,3.68,"M","Yes","Sun","Night",4
"182",182,23.33,5.65,"M","Yes","Sun","Night",2
"183",183,45.35,3.5,"M","Yes","Sun","Night",3
"184",184,23.17,6.5,"M","Yes","Sun","Night",4
"185",185,40.55,3,"M","Yes","Sun","Night",2
"186",186,20.69,5,"M","No","Sun","Night",5
"187",187,20.9,3.5,"F","Yes","Sun","Night",3
"188",188,30.46,2,"M","Yes","Sun","Night",5
"189",189,18.15,3.5,"F","Yes","Sun","Night",3
"190",190,23.1,4,"M","Yes","Sun","Night",3
"191",191,15.69,1.5,"M","Yes","Sun","Night",2
"192",192,19.81,4.19,"F","Yes","Thu","Day",2
"193",193,28.44,2.56,"M","Yes","Thu","Day",2
"194",194,15.48,2.02,"M","Yes","Thu","Day",2
"195",195,16.58,4,"M","Yes","Thu","Day",2
"196",196,7.56,1.44,"M","No","Thu","Day",2
"197",197,10.34,2,"M","Yes","Thu","Day",2
"198",198,43.11,5,"F","Yes","Thu","Day",4
"199",199,13,2,"F","Yes","Thu","Day",2
"200",200,13.51,2,"M","Yes","Thu","Day",2
"201",201,18.71,4,"M","Yes","Thu","Day",3
"202",202,12.74,2.01,"F","Yes","Thu","Day",2
"203",203,13,2,"F","Yes","Thu","Day",2
"204",204,16.4,2.5,"F","Yes","Thu","Day",2
"205",205,20.53,4,"M","Yes","Thu","Day",4
"206",206,16.47,3.23,"F","Yes","Thu","Day",3
"207",207,26.59,3.41,"M","Yes","Sat","Night",3
"208",208,38.73,3,"M","Yes","Sat","Night",4
"209",209,24.27,2.03,"M","Yes","Sat","Night",2
"210",210,12.76,2.23,"F","Yes","Sat","Night",2
"211",211,30.06,2,"M","Yes","Sat","Night",3
"212",212,25.89,5.16,"M","Yes","Sat","Night",4
"213",213,48.33,9,"M","No","Sat","Night",4
"214",214,13.27,2.5,"F","Yes","Sat","Night",2
"215",215,28.17,6.5,"F","Yes","Sat","Night",3
"216",216,12.9,1.1,"F","Yes","Sat","Night",2
"217",217,28.15,3,"M","Yes","Sat","Night",5
"218",218,11.59,1.5,"M","Yes","Sat","Night",2
"219",219,7.74,1.44,"M","Yes","Sat","Night",2
"220",220,30.14,3.09,"F","Yes","Sat","Night",4
"221",221,12.16,2.2,"M","Yes","Fri","Day",2
"222",222,13.42,3.48,"F","Yes","Fri","Day",2
"223",223,8.58,1.92,"M","Yes","Fri","Day",1
"224",224,15.98,3,"F","No","Fri","Day",3
"225",225,13.42,1.58,"M","Yes","Fri","Day",2
"226",226,16.27,2.5,"F","Yes","Fri","Day",2
"227",227,10.09,2,"F","Yes","Fri","Day",2
"228",228,20.45,3,"M","No","Sat","Night",4
"229",229,13.28,2.72,"M","No","Sat","Night",2
"230",230,22.12,2.88,"F","Yes","Sat","Night",2
"231",231,24.01,2,"M","Yes","Sat","Night",4
"232",232,15.69,3,"M","Yes","Sat","Night",3
"233",233,11.61,3.39,"M","No","Sat","Night",2
"234",234,10.77,1.47,"M","No","Sat","Night",2
"235",235,15.53,3,"M","Yes","Sat","Night",2
"236",236,10.07,1.25,"M","No","Sat","Night",2
"237",237,12.6,1,"M","Yes","Sat","Night",2
"238",238,32.83,1.17,"M","Yes","Sat","Night",2
"239",239,35.83,4.67,"F","No","Sat","Night",3
"240",240,29.03,5.92,"M","No","Sat","Night",3
"241",241,27.18,2,"F","Yes","Sat","Night",2
"242",242,22.67,2,"M","Yes","Sat","Night",2
"243",243,17.82,1.75,"M","No","Sat","Night",2
"244",244,18.78,3,"F","No","Thu","Night",2
